/r,"Học 5000 từ vựng tiếng Trung
qua ảnh flashcard/file PDF/Video ",,,,,,,,
Chưa học,,,,高兴,gāoxìng,vui,我很高兴。,Wǒ hěn gāoxìng.,Tôi rất vui.
Chưa học,,,,个,gè,cái (đơn vị lượng từ),我有一个钱包。,Wǒ yǒu yī ge qiánbāo.,Tôi có một cái ví tiền.
Chưa học,,,,工作,gōngzuò,công việc,我的工作很忙。,Wǒ de gōngzuò hěn máng.,Công việc của tôi rất bận.
Chưa học,,,,狗,gǒu,chó,这只狗很可爱。,Zhè zhī gǒu hěn kě'ài.,Con chó này rất dễ thương.
Chưa học,,,,汉语,Hànyǔ,tiếng Hán,我在学汉语。,Wǒ zài xué Hànyǔ.,Tôi đang học tiếng Trung.
Chưa học,,,,好,hǎo,"tốt, khỏe",他很好。,Tā hěn hǎo.,Anh ấy rất tốt.
Chưa học,,,,喝,hē,uống,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.
Chưa học,,,,和,hé,và,我和你一起去。,Wǒ hé nǐ yīqǐ qù.,Tôi và bạn cùng đi.
Chưa học,,,,很,hěn,rất,这个苹果很甜。,Zhège píngguǒ hěn tián.,Cái táo này rất ngọt.
Chưa học,,,,后面,hòumiàn,phía sau,我家在后面。,Wǒ jiā zài hòumiàn.,Nhà tôi ở phía sau.
Chưa học,,,,回,huí,"quay lại, về",我回家了。,Wǒ huí jiā le.,Tôi đã về nhà.
Chưa học,,,,会,huì,"sẽ, biết (kỹ năng)",我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.
Chưa học,,,,火车站,huǒchēzhàn,ga tàu,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.
Chưa học,,,,几,jǐ,mấy ,你有几个苹果？,Nǐ yǒu jǐ ge píngguǒ?,Bạn có mấy quả táo?
Chưa học,,,,家,jiā,"gia đình, nhà",我家有四口人。,Wǒ jiā yǒu sì kǒu rén.,Nhà tôi có bốn người.
Chưa học,,,,叫,jiào,"gọi, tên gọi",她叫李娜。,Tā jiào Lǐ Nà.,Cô ấy tên là Lý Na.
Chưa học,,,,今天,jīntiān,hôm nay,今天是星期一。,Jīntiān shì xīngqī yī.,Hôm nay là thứ Hai.
Chưa học,,,,九,jiǔ,chín,我有九本书。,Wǒ yǒu jiǔ běn shū.,Tôi có chín quyển sách.
Chưa học,,,,开,kāi,"mở, khởi động",我们开车去。,Wǒmen kāichē qù.,Chúng tôi đi bằng ô tô.
Chưa học,,,,看,kàn,xem,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
Chưa học,,,,看见,kànjiàn,nhìn thấy,我看见你了。,Wǒ kànjiàn nǐ le.,Tôi đã thấy bạn.
Chưa học,,,,块,kuài,"miếng, đồng (tiền)",这个苹果两块钱。,Zhège píngguǒ liǎng kuài qián.,Cái táo này hai tệ.
Chưa học,,,,来,lái,đến,明天我来。,Míngtiān wǒ lái.,Ngày mai tôi đến.
Chưa học,,,,老师,lǎoshī,giáo viên,我的老师很友好。,Wǒ de lǎoshī hěn yǒuhǎo.,Giáo viên của tôi rất thân thiện.
Chưa học,,,,了,le,đã (dùng để chỉ sự thay đổi),她去了学校。,Tā qùle xuéxiào.,Cô ấy đã đi đến trường.
Chưa học,,,,冷,lěng,lạnh,外面很冷。,Wàimiàn hěn lěng.,Bên ngoài rất lạnh.
Chưa học,,,,里,lǐ,trong,我的书在里面。,Wǒ de shū zài lǐmiàn.,Sách của tôi ở bên trong.
Chưa học,,,,零,líng,không (số 0),今天零度。,Jīntiān líng dù.,Hôm nay không độ.
Chưa học,,,,六,liù,sáu,我有六个苹果。,Wǒ yǒu liù ge píngguǒ.,Tôi có sáu quả táo.
Chưa học,,,,妈妈,māma,mẹ,我的妈妈很漂亮。,Wǒ de māmā hěn piàoliang.,Mẹ của tôi rất xinh đẹp.
Chưa học,,,,吗,ma,không (dùng trong câu hỏi),你好吗？,Nǐ hǎo ma?,Bạn khỏe không?
Chưa học,,,,买,mǎi,mua,我买了水果。,Wǒ mǎile shuǐguǒ.,Tôi đã mua trái cây.
Chưa học,,,,猫,māo,mèo,这只猫很可爱。,Zhè zhī māo hěn kě'ài.,Con mèo này rất dễ thương.
Chưa học,,,,没,méi,"không có, chưa",我没看见他。,Wǒ méi kànjiàn tā.,Tôi không nhìn thấy anh ấy.
Chưa học,,,,没关系,méi guānxi,"không sao, không có gì",下雨了，没关系，我们有伞。,"Xiàyǔ le, méi guānxì, wǒmen yǒu sǎn.","Trời mưa rồi, không sao đâu, chúng ta có ô."
Chưa học,,,,米饭,mǐfàn,cơm,我们吃米饭。,Wǒmen chī mǐfàn.,Chúng tôi ăn cơm.
Chưa học,,,,明天,míngtiān,ngày mai,明天见。,Míngtiān jiàn.,Ngày mai gặp.
Chưa học,,,,名字,míngzi,tên,你叫什么名字？,Nǐ jiào shénme míngzì?,Bạn tên là gì?
Chưa học,,,,哪里 (哪儿),nǎlǐ (nǎr),"đâu, chỗ nào",你要去哪儿？,Nǐ yào qù nǎr？,Bạn muốn đi đâu?
Chưa học,,,,那,nà ,"đó, kia",那个书包很漂亮。,Nàge shūbāo hěn piàoliang.,Cái cặp sách đó rất đẹp.
Chưa học,,,,呢,ne,thì sao? (dùng để hỏi thêm),你呢？,Nǐ ne?,Còn bạn thì sao?
Chưa học,,,,能,néng,có thể,他能说三种语言。,Tā néng shuō sān zhǒng yǔyán.,Anh ấy có thể nói ba ngôn ngữ.
Chưa học,,,,你,nǐ,bạn,你叫什么名字？        ,Nǐ jiào shénme míngzi?,Bạn tên là gì?
Chưa học,,,,年,nián,năm,我结婚三年了。,Wǒ jiéhūn sān nián le.,Tôi kết hôn 3 năm rồi.
Chưa học,,,,女儿,nǚ'ér,con gái,她是我的女儿。       ,Tā shì wǒ de nǚ'ér.        ,Con bé là con gái của tôi.
Chưa học,,,,朋友,péngyou ,bạn,她的朋友很聪明。,Tā de péngyou hěn cōngmíng.,Bạn của cô ấy rất thông minh.
Chưa học,,,,漂亮,piàoliang,đẹp,她很漂亮。,Tā hěn piàoliang.,Cô ấy rất xinh đẹp.
Chưa học,,,,苹果,píngguǒ,táo,这个苹果很好吃。,Zhège píngguǒ hěn hǎochī.,Táo này rất ngon.
Chưa học,,,,七,qī,bảy,我有七个朋友。,Wǒ yǒu qī ge péngyou.,Tôi có bảy người bạn.
Chưa học,,,,钱,qián,tiền,这本书多少钱？,Zhè běn shū duōshǎo qián?,Cuốn sách này giá bao nhiêu?
Chưa học,,,,前面,qiánmiàn,phía trước,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.
Chưa học,,,,请,qǐng,"xin vui lòng, mời",请给我菜单。,Qǐng gěi wǒ càidān.,Xin vui lòng đưa cho tôi thực đơn.
Chưa học,,,,去,qù,đi,我们要去商店。,Wǒmen yào qù shāngdiàn.,Chúng tôi phải đến cửa hàng.
Chưa học,,,,热,rè,nóng,天气很热。,Tiānqì hěn rè.,Thời tiết rất nóng.
Chưa học,,,,人,rén,người,这个人很友好。,Zhè ge rén hěn yǒuhǎo.,Người này rất thân thiện.
Chưa học,,,,认识,rènshi,quen biết,我认识他。,Wǒ rènshi tā.,Tôi quen anh ấy.
Chưa học,,,,日,rì,ngày,今天是几月几日？,Jīntiān shì jǐ yuè jǐ rì?,Hôm nay là ngày mấy tháng mấy?
Chưa học,,,,三,sān,ba,我有三本书。,Wǒ yǒu sān běn shū.,Tôi có ba cuốn sách.
Chưa học,,,,商店,shāngdiàn,cửa hàng,这个商店很大。,Zhège shāngdiàn hěn dà.,Cửa hàng này rất lớn.
Chưa học,,,,上,shàng,lên,他在上楼。,Tā zài shàng lóu.,Anh ấy đang lên tầng.
Chưa học,,,,上午,shàngwǔ,buổi sáng,上午我们去学校。,Shàngwǔ wǒmen qù xuéxiào.,Vào buổi sáng chúng tôi đi học.
Chưa học,,,,少,shǎo,ít,我们还少一个人。,Wǒmen hái shǎo yīgè rén.,Chúng tôi vẫn thiếu một người.
Chưa học,,,,谁,shuí/ shéi ,ai,谁是你的老师？,Shéi shì nǐ de lǎoshī?,Ai là giáo viên của bạn?
Chưa học,,,,什么,shénme,cái gì,你想吃什么？,Nǐ xiǎng chī shénme?,Bạn muốn ăn gì?
Chưa học,,,,十,shí,mười,我有十块钱。,Wǒ yǒu shí kuài qián.,Tôi có mười tệ.
Chưa học,,,,时候,shíhòu,"lúc, khi",你什么时候来？,Nǐ shénme shíhòu lái?,Bạn đến lúc nào ?
Chưa học,,,,是,shì,"là, thì",这是一本好书。,Zhè shì yī běn hǎo shū.,Đây là một cuốn sách hay.
Chưa học,,,,书,shū,sách,这本书很有意思。,Zhè běn shū hěn yǒuyìsi.,Cuốn sách này rất thú vị.
Chưa học,,,,水,shuǐ,nước,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.
Chưa học,,,,水果,shuǐguǒ,trái cây,她喜欢吃水果。,Tā xǐhuān chī shuǐguǒ.,Cô ấy thích ăn trái cây.
Chưa học,,,,睡觉,shuìjiào,ngủ,他每天晚上十点睡觉。,Tā měitiān wǎnshàng shí diǎn shuìjiào.,Anh ấy đi ngủ lúc mười giờ tối mỗi ngày.
Chưa học,,,,说话,shuōhuà,nói chuyện,你怎么不说话？,Nǐ zěnme bù shuōhuà?,Sao bạn không nói chuyện thế?
Chưa học,,,,四,sì,bốn,他们四个人去旅行。,Tāmen sì gè rén qù lǚxíng.,Bốn người họ đi du lịch.
Chưa học,,,,岁,suì,tuổi,我今年二十五岁。,Wǒ jīnnián èrshíwǔ suì.,Tôi năm nay hai mươi lăm tuổi.
Chưa học,,,,他,tā,"anh ấy, ông ấy",他是我的朋友。,Tā shì wǒ de péngyou.,Anh ấy là bạn của tôi.
Chưa học,,,,她,tā,"cô ấy, bà ấy",她在家里。,Tā zài jiālǐ.,Cô ấy ở nhà.
Chưa học,,,,太,tài,quá,今天太热了。,Jīntiān tài rè le.,Hôm nay nóng quá.
Chưa học,,,,天气,tiānqì,thời tiết,今天天气很好。,Jīntiān tiānqì hěn hǎo.,Thời tiết hôm nay rất tốt.
Chưa học,,,,听,tīng,nghe,我喜欢听音乐。,Wǒ xǐhuān tīng yīnyuè.,Tôi thích nghe nhạc.
Chưa học,,,,同学,tóngxué,bạn học,我们是同学。,Wǒmen shì tóngxué.,Chúng tôi là bạn học.
Chưa học,,,,喂,wèi,alo,喂，你好吗？,"Wèi, nǐ hǎo ma?","Alo, bạn khỏe không?"
Chưa học,,,,我,wǒ,tôi,我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.
Chưa học,,,,我们,wǒmen,chúng tôi,我们一起去吧。,Wǒmen yīqǐ qù ba.,Chúng ta cùng đi nhé.
Chưa học,,,,五,wǔ,năm,他有五本书。,Tā yǒu wǔ běn shū.,Anh ấy có năm cuốn sách.
Chưa học,,,,喜欢,xǐhuān,thích,我喜欢喝咖啡。,Wǒ xǐhuān hē kāfēi.,Tôi thích uống cà phê.
Chưa học,,,,下,xià,xuống,我在下楼。,Wǒ zài xià lóu.,Tôi đang xuống lầu.
Chưa học,,,,下午,xiàwǔ,buổi chiều,下午我们去逛街。,Xiàwǔ wǒmen qù guàngjiē.,"uổi chiều, chúng tôi đi dạo phố."
Chưa học,,,,下雨,xià yǔ,mưa,外面下雨了，记得带伞。,"Wàimiàn xià yǔ le, jìdé dài sǎn.","Ngoài trời mưa, nhớ mang theo ô."
Chưa học,,,,先生,xiānshēng,"ông, ngài",先生，这边请。,"Xiānshēng, zhè biān qǐng ",Mời anh qua bên này.
Chưa học,,,,现在,xiànzài,bây giờ,我现在很累。,Wǒ xiànzài hěn lèi.,Tôi hiện tại rất mệt.
Chưa học,,,,想,xiǎng,"nghĩ, muốn",我想去看电影。,Wǒ xiǎng qù kàn diànyǐng.,Tôi muốn đi xem phim.
Chưa học,,,,小,xiǎo,nhỏ,这是一只小狗。,Zhè shì yī zhī xiǎo gǒu.,Đây là một chú chó con.
Chưa học,,,,小姐,xiǎojiě,cô (trong cách gọi),小姐，请问这里有洗手间吗？,"Xiǎojiě, qǐngwèn zhèlǐ yǒu xǐshǒujiān ma?","Cô ơi, xin hỏi ở đây có nhà vệ sinh không?"
Chưa học,,,,些,xiē,vài,我们买了一些水果。,Wǒmen mǎile yīxiē shuǐguǒ.,Chúng tôi đã mua một ít trái cây.
Chưa học,,,,写,xiě,viết,我正在写信。,Wǒ zhèngzài xiě xìn.,Tôi đang viết thư.
Chưa học,,,,谢谢,xièxiè,cảm ơn,谢谢你的帮助。,Xièxiè nǐ de bāngzhù.,Cảm ơn sự giúp đỡ của bạn.
Chưa học,,,,星期,xīngqī,tuần,一个星期就好。,Yí gè xīngqī jiǔ hǎo.,Một tuần là được
Chưa học,,,,学生,xuéshēng,học sinh,他是一个好学生。,Tā shì yīgè hǎo xuéshēng.,Anh ấy là một học sinh giỏi.
Chưa học,,,,学习,xuéxí,học tập,学习中文很有趣。,Xuéxí zhōngwén hěn yǒuqù.,Học tiếng Trung rất thú vị.
Chưa học,,,,学校,xuéxiào,trường học,我在学校学习中文。,Wǒ zài xuéxiào xuéxí zhōngwén.,Tôi học tiếng Trung ở trường.
Chưa học,,,,一,yī,một,一个人在公园散步。,Yī gè rén zài gōngyuán sànbù.,Một người đang đi dạo trong công viên.
Chưa học,,,,衣服,yīfu,quần áo,这件衣服很漂亮。,Zhè jiàn yīfu hěn piàoliang.,Bộ quần áo này rất đẹp.
Chưa học,,,,医生,yīshēng,bác sĩ,他是一位医生。,Tā shì yī wèi yīshēng.,Anh ấy là một bác sĩ.
Chưa học,,,,医院,yīyuàn,bệnh viện,我们去医院看病。,Wǒmen qù yīyuàn kàn bìng.,Chúng tôi đến bệnh viện để khám bệnh.
Chưa học,,,,椅子,yǐzi,ghế,请坐在椅子上。,Qǐng zuò zài yǐzi shàng.,Xin ngồi lên ghế.
Chưa học,,,,月,yuè,"tháng, mặt trăng",这个月我很忙。,Zhège yuè wǒ hěn máng.,Tháng này tôi rất bận.
Chưa học,,,,在,zài,"ở, tại",他在学校学习。,Tā zài xuéxiào xuéxí.,Anh ấy học ở trường.
Chưa học,,,,再见,zàijiàn,tạm biệt,我们明天再见。,Wǒmen míngtiān zàijiàn.,Chúng ta gặp lại vào ngày mai.
Chưa học,,,,怎么,zěnme,làm sao,你怎么了？,Nǐ zěnme le?,Bạn sao vậy?
Chưa học,,,,怎么样,zěnmeyàng,như thế nào,你的工作怎么样？,Nǐ de gōngzuò zěnmeyàng?,Công việc của bạn thế nào?
Chưa học,,,,这,zhè ,"Đây, này",这件事怎么样？,Zhè jiàn shì zěnme yàng?,Việc này như thế nào?
Chưa học,,,,中国,Zhōngguó,Trung Quốc,中国有很多美丽的风景。,Zhōngguó yǒu hěn duō měilì de fēngjǐng.,Trung Quốc có nhiều cảnh đẹp.
Chưa học,,,,中午,zhōngwǔ,buổi trưa,中午我们去吃饭吧。,Zhōngwǔ wǒmen qù chīfàn ba.,Buổi trưa chúng ta đi ăn cơm nhé.
Chưa học,,,,住,zhù,"sống, cư trú",我住在一个很安静的地方。,Wǒ zhù zài yīgè hěn ānjìng de dìfāng.,Tôi sống ở một nơi rất yên tĩnh.
Chưa học,,,,桌子,zhuōzi,bàn,桌子上放着一本书。,Zhuōzi shàng fàngzhe yī běn shū.,Trên bàn có một cuốn sách.
Chưa học,,,,字,zì,chữ,我们要学会写字。,Wǒmen yào xuéhuì xiě zì.,Chúng ta phải học viết chữ.
Chưa học,,,,昨天,zuótiān,hôm qua,昨天我去看了一部电影。,Zuótiān wǒ qù kànle yī bù diànyǐng.,Hôm qua tôi đã đi xem một bộ phim.
Chưa học,,,,坐,zuò,ngồi,我们在公园里坐了一会儿。,Wǒmen zài gōngyuán lǐ zuòle yīhuìr.,Chúng tôi đã ngồi một lúc trong công viên.
Chưa học,,,,做,zuò,làm,他正在做作业。,Tā zhèngzài zuò zuòyè.,Anh ấy đang làm bài tập về nhà.
